colsample_bytree,learning_rate,max_depth,n_estimators,subsample,mean_auc
0.8,0.01,7,100,1.0,0.5156623637280383
1.0,0.01,7,300,0.8,0.5150745943103165
1.0,0.1,5,500,1.0,0.514924503319592
1.0,0.01,7,100,0.8,0.5138671707471307
1.0,0.01,7,500,0.8,0.5132387244669351
1.0,0.05,7,100,0.8,0.5131758060764507
1.0,0.01,7,100,1.0,0.5130600637673409
0.8,0.1,7,500,1.0,0.5127816736080003
1.0,0.01,5,300,0.8,0.5122261907763208
0.8,0.01,7,300,1.0,0.5121151017372215
1.0,0.05,7,100,1.0,0.5119259665374312
1.0,0.1,7,500,1.0,0.5118817303787742
1.0,0.05,7,300,0.8,0.5114030431337047
0.8,0.05,7,300,0.8,0.5113481470824696
1.0,0.1,5,300,1.0,0.5112653189567586
1.0,0.01,5,500,0.8,0.5109028611194347
0.8,0.1,7,300,1.0,0.5106585025729572
0.8,0.05,7,500,0.8,0.5105265991896858
1.0,0.05,3,500,0.8,0.510391829720061
1.0,0.1,7,500,0.8,0.5103080933335522
1.0,0.05,7,500,0.8,0.5102325045545483
1.0,0.05,5,300,0.8,0.510218131316906
0.8,0.1,3,500,1.0,0.510101528369684
1.0,0.1,5,100,1.0,0.5098722128608876
0.8,0.1,7,100,1.0,0.5096788683455834
0.8,0.01,7,300,0.8,0.5096064647022144
1.0,0.1,7,300,0.8,0.509376127726838
0.8,0.1,5,100,0.8,0.5091122648353196
0.8,0.05,5,300,0.8,0.508927560146445
1.0,0.1,7,300,1.0,0.5088281857961623
0.8,0.1,5,500,1.0,0.5087904076780482
1.0,0.05,7,500,1.0,0.5086397917754518
1.0,0.1,7,100,1.0,0.5085788371279901
0.8,0.1,5,300,0.8,0.5085681967340302
0.8,0.01,7,500,1.0,0.50856165953697
0.8,0.1,7,300,0.8,0.5084541586593191
0.8,0.1,7,500,0.8,0.508360909328044
0.8,0.1,3,100,1.0,0.5082758107716686
1.0,0.01,3,100,0.8,0.5082746973035196
1.0,0.05,3,300,0.8,0.508153358105715
0.8,0.01,7,500,0.8,0.5079015358896876
0.8,0.05,5,500,0.8,0.5078438840550312
1.0,0.05,7,300,1.0,0.507841625262128
1.0,0.01,5,100,1.0,0.5078403807128103
1.0,0.05,5,500,0.8,0.5077944675322551
0.8,0.1,5,500,0.8,0.5077574251744373
0.8,0.01,7,100,0.8,0.5077496245485638
1.0,0.01,3,300,0.8,0.5077322716195501
1.0,0.05,5,100,0.8,0.5076108779413543
1.0,0.01,5,100,0.8,0.5075965548721961
0.8,0.05,7,100,0.8,0.5075369591781421
1.0,0.1,3,500,1.0,0.5073461896288912
1.0,0.01,7,500,1.0,0.5073055342268601
0.8,0.05,7,500,1.0,0.5072530174689904
0.8,0.01,5,300,0.8,0.5072402498118033
1.0,0.1,7,100,0.8,0.5072361858425565
0.8,0.1,3,300,1.0,0.507205304940288
1.0,0.01,3,500,0.8,0.5070286676154265
1.0,0.01,7,300,1.0,0.5068426607785556
0.8,0.1,7,100,0.8,0.5066285438201678
0.8,0.01,5,100,1.0,0.5065766816942642
1.0,0.01,3,300,1.0,0.5065609615156271
0.8,0.05,7,100,1.0,0.5065233144802236
0.8,0.01,5,500,0.8,0.5062439569866951
0.8,0.05,3,500,0.8,0.5062149483523245
0.8,0.05,7,300,1.0,0.5061229509820676
0.8,0.01,5,100,0.8,0.5060866444262516
1.0,0.05,3,100,0.8,0.5055299970164205
0.8,0.05,5,500,1.0,0.5055212335031304
0.8,0.1,3,500,0.8,0.5054786906136021
0.8,0.01,3,100,1.0,0.5053405156931219
0.8,0.05,3,300,1.0,0.5052862286019515
0.8,0.01,5,300,1.0,0.5052833867076291
0.8,0.01,3,300,0.8,0.50524965006256
0.8,0.05,3,100,0.8,0.5051813725721558
0.8,0.05,5,100,0.8,0.5051612082806587
1.0,0.1,3,500,0.8,0.5051340048508388
1.0,0.01,3,100,1.0,0.5050890952023773
0.8,0.05,3,100,1.0,0.505069548154852
1.0,0.1,3,300,1.0,0.504981472036382
0.8,0.05,5,300,1.0,0.5047213163026637
0.8,0.1,5,300,1.0,0.5044641066705794
0.8,0.1,5,100,1.0,0.5044348732038055
0.8,0.1,3,100,0.8,0.5043125689230643
1.0,0.1,3,100,1.0,0.5042533695391007
0.8,0.01,3,500,0.8,0.504212628216035
0.8,0.01,3,100,0.8,0.5039500250110905
1.0,0.01,3,500,1.0,0.5037294260567761
0.8,0.05,3,300,0.8,0.5036893725375745
1.0,0.05,3,100,1.0,0.5035195416458916
0.8,0.01,3,500,1.0,0.5034937289997897
1.0,0.1,5,300,0.8,0.5033493241949739
1.0,0.1,5,500,0.8,0.5033482442535426
0.8,0.05,3,500,1.0,0.5029844159117317
1.0,0.05,3,300,1.0,0.5026926891360257
0.8,0.01,3,300,1.0,0.5025829023530043
1.0,0.1,5,100,0.8,0.5025771510604233
0.8,0.1,3,300,0.8,0.5024570757134673
1.0,0.1,3,300,0.8,0.5014848657485623
0.8,0.01,5,500,1.0,0.5012715863903483
1.0,0.05,5,500,1.0,0.5004847662889502
0.8,0.05,5,100,1.0,0.5004232891136532
1.0,0.05,3,500,1.0,0.5003530557891726
1.0,0.05,5,300,1.0,0.5001876878306071
1.0,0.01,5,300,1.0,0.5000510373806026
1.0,0.05,5,100,1.0,0.49924743422158624
1.0,0.1,3,100,0.8,0.49895849572551126
1.0,0.01,5,500,1.0,0.4980086997302983
